DISTRICT,DIST_ENGLISH,TEHSIL,TEHSIL_ENG,RI,RI_ENG,HALKA,HALKA_ENG,VILLAGE,VILLAGE_ENG,BHUCODE_LR,VILLAGECODE_LGD,DATA_AVAILABLE_SINCE,MAP_AVAILABLE,ULB_NAME,VILLAGE_TYPE,IS_KHASRA_AVAILABLE,KHASRA_COUNT,TOTAL_AREA_KHASRA,MAP_PARCEL_COUNT,TOTAL_AREA_MAP,AABAADI_SURVEY
33-??????,Jabalpur,03-????,Patan,01-?????,,00009-????,,029-????,Khajri,3.30301E+13,489407,2005-2006,Y,????? ??????,?????? ?????,Y,563,440.95,480,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00009-????,,030-?????,Jatasi,3.30301E+13,489406,2005-2006,Y,????? ??????,?????? ?????,Y,155,195.65,139,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00010-??????,,031-??????,Ganyari,3.30301E+13,489411,2005-2006,Y,????? ??????,?????? ?????,Y,631,478.73,437,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00010-??????,,032-????,Doni,3.30301E+13,489408,2005-2006,Y,????? ??????,?????? ?????,Y,233,332.7,220,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00011-??????,,033-??????,Murrai,3.30301E+13,489410,2005-2006,Y,????? ??????,?????? ?????,Y,855,676.87,623,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00012-?????,,034-?????,Kushli,3.30301E+13,489409,2005-2006,Y,????? ??????,?????? ?????,Y,581,463.09,467,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00012-?????,,035-??????,Rasuiya,3.30301E+13,489395,2005-2006,Y,????? ??????,?????? ?????,Y,281,248.54,199,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00013-??????,,036-??????,Bhilauda,3.30301E+13,489412,2005-2006,Y,????? ??????,?????? ?????,Y,634,512.5,524,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00013-??????,,037-??????,Sunda,3.30301E+13,489416,2005-2006,Y,????? ??????,?????? ?????,Y,149,163.59,127,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00013-??????,,038-??????,Imaliya,3.30301E+13,489417,2005-2006,Y,????? ??????,?????? ?????,Y,206,170.22,197,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00013-??????,,039-?????,Karondi,3.30301E+13,489465,2005-2006,Y,????? ??????,?????? ?????,Y,246,133.13,233,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00014-????,,040-????,Khajri (Mihguwan),3.30301E+13,489423,2005-2006,Y,????? ??????,?????? ?????,Y,437,356.9,345,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00014-????,,041-?????,Biruwa,3.30301E+13,489419,2005-2006,Y,????? ??????,?????? ?????,Y,334,235.37,325,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00014-????,,042-???????,Mihgawan,3.30301E+13,362905,2005-2006,Y,????? ??????,?????? ?????,Y,151,105.88,118,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00014-????,,043-????,Bhamka,3.30301E+13,489421,2005-2006,Y,????? ??????,?????? ?????,Y,357,250.49,317,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00015-????????,,044-????????,Ramkhiriya,3.30301E+13,489422,2005-2006,Y,????? ??????,?????? ?????,Y,336,274.48,277,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00015-????????,,045-????,Khaira,3.30301E+13,489415,2005-2006,Y,????? ??????,?????? ?????,Y,254,181.34,175,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00015-????????,,046-??????,Bilsara,3.30301E+13,489464,2005-2006,Y,????? ??????,?????? ?????,Y,122,77.04,115,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00016-??????,,047-??????,Goppur,3.30301E+13,489418,2005-2006,Y,????? ??????,?????? ?????,Y,154,156.06,130,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00016-??????,,048-????,Nimi,3.30301E+13,489420,2005-2006,Y,????? ??????,?????? ?????,Y,119,70.21,104,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00016-??????,,049-??????,Padariya,3.30301E+13,489394,2005-2006,Y,????? ??????,?????? ?????,Y,347,136.75,301,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00016-??????,,050-????,Thuha,3.30301E+13,489393,2005-2006,Y,????? ??????,?????? ?????,Y,258,127.58,211,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00017-???????,,051-???????,Bagaswahi,3.30301E+13,489427,2005-2006,Y,????? ??????,?????? ?????,Y,339,226.33,286,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00017-???????,,052-???????,Sajpani,3.30301E+13,489426,2005-2006,Y,????? ??????,?????? ?????,Y,239,181.63,194,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00018-???????,,053-???????,Tamoriya,3.30301E+13,489432,2005-2006,Y,????? ??????,?????? ?????,Y,677,446.21,537,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00018-???????,,054-????? ???????,Mahda Mankawara,3.30301E+13,489431,2005-2006,Y,????? ??????,?????? ?????,Y,258,383.92,235,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00019-??????,,055-??????,Kaimori,3.30301E+13,489428,2005-2006,Y,????? ??????,?????? ?????,Y,895,757.96,591,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00020-??????,,056-??????,Padariya (Beohari),3.30301E+13,489434,2005-2006,Y,????? ??????,?????? ?????,Y,299,263.19,254,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00020-??????,,057-????????,Beohari,3.30301E+13,489456,2005-2006,Y,????? ??????,?????? ?????,Y,542,351.6,389,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00021-????,,058-????,Sakra,3.30301E+13,489433,2005-2006,Y,????? ??????,?????? ?????,Y,1174,762.31,930,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00022-??????,,059-??????,Riyana,3.30301E+13,489435,2005-2006,Y,????? ??????,?????? ?????,Y,415,266.8,317,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00022-??????,,060-???,Handa,3.30301E+13,489444,2005-2006,Y,????? ??????,?????? ?????,Y,689,358.08,546,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00022-??????,,061-????? ??????,Katiya Luhari,3.30301E+13,489445,2005-2006,Y,????? ??????,?????? ?????,Y,327,175.78,261,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00022-??????,,062-??????,Muswa,3.30301E+13,489446,2005-2006,Y,????? ??????,?????? ?????,Y,185,82.77,140,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00023-?????,,063-?????,Mado,3.30301E+13,489438,2005-2006,Y,????? ??????,?????? ?????,Y,572,295.56,469,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00023-?????,,064-?????,Abhana,3.30301E+13,489439,2005-2006,Y,????? ??????,?????? ?????,Y,320,180.51,269,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00023-?????,,065-???????,Chhituraha,3.30301E+13,489436,2005-2006,Y,????? ??????,?????? ?????,Y,582,367.32,502,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00024-????,,066-????,Thana,3.30301E+13,489437,2005-2006,Y,????? ??????,?????? ?????,Y,517,317.26,414,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,067-???????,Mihguwan (Beosa),3.30301E+13,489442,2005-2006,Y,????? ??????,?????? ?????,Y,318,183.79,216,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,068-?????,Banwar,3.30301E+13,489441,2005-2006,Y,????? ??????,?????? ?????,Y,565,427.54,478,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,069-?????,Biwsa,3.30301E+13,489443,2005-2006,Y,????? ??????,?????? ?????,Y,178,121.75,169,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,070-??????,Jugiya,3.30301E+13,916284,2005-2006,Y,????? ??????,?????? ?????,Y,258,177.78,215,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,071-??????,Rampura,3.30301E+13,489539,2005-2006,Y,????? ??????,?????? ?????,Y,244,169.47,174,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00025-??????,,072-????,Jhamar Banwar,3.30301E+13,489440,2005-2006,Y,????? ??????,?????? ?????,Y,260,118.62,181,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00026-?????,,073-????,Sarond,3.30301E+13,489455,2005-2006,Y,????? ??????,?????? ?????,Y,990,621.19,916,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00026-?????,,074-??????,Jugtara,3.30301E+13,489449,2005-2006,Y,????? ??????,?????? ?????,Y,350,156.97,306,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,075-??????,Didhora,3.30301E+13,489710,2005-2006,Y,????? ??????,?????? ?????,Y,182,183.59,165,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,076-????? ????,Paimakheda,3.30301E+13,489450,2005-2006,Y,????? ??????,?????? ?????,Y,180,81.29,175,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,077-??????,Gudiya,3.30301E+13,489453,2005-2006,Y,????? ??????,?????? ?????,Y,123,79.16,104,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,078-?????,Basiya,3.30301E+13,489454,2005-2006,Y,????? ??????,?????? ?????,Y,138,79.79,121,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,079-?????,Raithra,3.30301E+13,489452,2005-2006,Y,????? ??????,?????? ?????,Y,228,168.55,188,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00027-??????,,080-????????,Kukurbhuka,3.30301E+13,489533,2005-2006,Y,????? ??????,?????? ?????,Y,205,172.66,157,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00028-?????,,081-?????,Bhartari,3.30301E+13,489461,2005-2006,Y,????? ??????,?????? ?????,Y,458,275.18,397,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00028-?????,,082-??????,Majhgawan,3.30301E+13,489462,2005-2006,Y,????? ??????,?????? ?????,Y,235,174.75,229,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00028-?????,,083-?????,Harduwa (Bhartari),3.30301E+13,489460,2005-2006,Y,????? ??????,?????? ?????,Y,321,208.48,291,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00029-???????,,084-???????,Jamuniya (Gharra),3.30301E+13,489457,2005-2006,Y,????? ??????,?????? ?????,Y,565,445.53,480,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00029-???????,,085-?????,Chikhli,3.30301E+13,489425,2005-2006,Y,????? ??????,?????? ?????,Y,183,124.45,157,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00029-???????,,086-?????,Gharra,3.30301E+13,489458,2005-2006,Y,????? ??????,?????? ?????,Y,143,104.63,134,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00029-???????,,087-?????,Deori,3.30301E+13,362903,2005-2006,Y,????? ??????,?????? ?????,Y,164,155.15,137,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00030-??????????,,088-?????????,Gunj Khamariya,3.30301E+13,489471,2005-2006,Y,????? ??????,?????? ?????,Y,441,244.99,415,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00030-??????????,,089-???,Sara,3.30301E+13,489413,2005-2006,Y,????? ??????,?????? ?????,Y,335,252.72,307,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00031-??????,,090-??????,Boriya,3.30301E+13,489470,2005-2006,Y,????? ??????,?????? ?????,Y,543,449.75,426,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00031-??????,,091-?????,Sindari,3.30301E+13,489467,2005-2006,Y,????? ??????,?????? ?????,Y,138,79.56,121,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00031-??????,,092-??????,Suraiya,3.30301E+13,489414,2005-2006,Y,????? ??????,?????? ?????,Y,242,204.8,231,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,093-????,Pondi (Sindari),3.30301E+13,489468,2005-2006,Y,????? ??????,?????? ?????,Y,330,183.27,307,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,094-????,Chhapri,3.30301E+13,489476,2005-2006,Y,????? ??????,?????? ?????,Y,509,214.58,443,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,095-??????,Pauniya,3.30301E+13,489469,2005-2006,Y,????? ??????,?????? ?????,Y,261,106.19,243,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,096-???????,Dhirkheda,3.30301E+13,489463,2005-2006,Y,????? ??????,?????? ?????,Y,196,174.2,184,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,097-??????,Achalauni,3.30301E+13,489474,2005-2006,Y,????? ??????,?????? ?????,Y,221,109.76,212,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00032-????,,098-????,Bhita,3.30301E+13,489670,2005-2006,Y,????? ??????,?????? ?????,Y,428,233.22,319,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00033-?????????,,099-?????????,Kankar Kheda,3.30301E+13,489472,2005-2006,Y,????? ??????,?????? ?????,Y,689,385.02,621,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00033-?????????,,100-?????,Garreha,3.30301E+13,489473,2005-2006,Y,????? ??????,?????? ?????,Y,535,374.5,522,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00034-?????,,101-?????,Kainthra,3.30301E+13,489477,2005-2006,Y,????? ??????,?????? ?????,Y,332,146.03,307,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00034-?????,,102-?????????,Khatoli Dhana,3.30301E+13,489479,2005-2006,Y,????? ??????,?????? ?????,Y,149,57.58,136,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00034-?????,,103-???????,Bamuriya,3.30301E+13,489478,2005-2006,Y,????? ??????,?????? ?????,Y,264,169.14,241,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00034-?????,,104-???????,Lamheta,3.30301E+13,489475,2005-2006,Y,????? ??????,?????? ?????,Y,238,132.54,211,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00034-?????,,105-?????,Simra,3.30301E+13,489480,2005-2006,Y,????? ??????,?????? ?????,Y,252,139.24,191,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00035-????,,106-????,Sahsan,3.30301E+13,489484,2005-2006,Y,????? ??????,?????? ?????,Y,752,481.68,696,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00035-????,,107-?????????,Mangudiya,3.30301E+13,489483,2005-2006,Y,????? ??????,?????? ?????,Y,120,82.52,125,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00035-????,,108-???????,Pipariya,3.30301E+13,489485,2005-2006,Y,????? ??????,?????? ?????,Y,50,44.76,47,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00035-????,,109-????????,Sigantalai,3.30301E+13,489511,2005-2006,Y,????? ??????,?????? ?????,Y,109,103.25,91,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00036-????? ????????,,110-????? ???????,Karari Mankuwara,3.30301E+13,489481,2005-2006,Y,????? ??????,?????? ?????,Y,671,426.51,585,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00036-????? ????????,,111-???????,Simariya (Karari),3.30301E+13,489482,2005-2006,Y,????? ??????,?????? ?????,Y,793,447.8,712,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00037-???????,,112-???????,Bilkharwa,3.30301E+13,489487,2005-2006,Y,????? ??????,?????? ?????,Y,739,412.06,653,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00037-???????,,113-???????,Naukheda,3.30301E+13,489488,2005-2006,Y,????? ??????,?????? ?????,Y,178,152.09,181,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00037-???????,,114-??????,Padriya,3.30301E+13,489486,2005-2006,Y,????? ??????,?????? ?????,Y,501,338.98,361,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00038-??????,,115-??????,Agasod,3.30301E+13,489489,2005-2006,Y,????? ??????,?????? ?????,Y,986,634.61,827,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00038-??????,,116-??????,Chihunta,3.30301E+13,489509,2005-2006,Y,????? ??????,?????? ?????,Y,343,182.27,223,,N
33-??????,Jabalpur,03-????,Patan,01-?????,,00038-??????,,117-??????,Khajwahi,3.30301E+13,489512,2005-2006,Y,????? ??????,?????? ?????,Y,63,83.57,53,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00039-????,,118-????,Archha,3.30302E+13,489494,2005-2006,Y,????? ??????,?????? ?????,Y,811,499.12,777,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00040-??????,,119-??????,Binaiki,3.30302E+13,489491,2005-2006,Y,????? ??????,?????? ?????,Y,732,254.99,619,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00041-??????,,120-??????,Luhari,3.30302E+13,489493,2005-2006,Y,????? ??????,?????? ?????,Y,789,404.67,732,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00042-????????,,121-????????,Benikheda,3.30302E+13,489497,2005-2006,Y,????? ??????,?????? ?????,Y,586,351.93,425,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00042-????????,,122-?????,Chhopra,3.30302E+13,489492,2005-2006,Y,????? ??????,?????? ?????,Y,141,92.38,123,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00042-????????,,123-?????,Timri,3.30302E+13,489490,2005-2006,Y,????? ??????,?????? ?????,Y,403,249.67,327,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00043-?????,,124-?????,Ujrond,3.30302E+13,489498,2005-2006,Y,????? ??????,?????? ?????,Y,659,316.76,581,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00043-?????,,125-????????,Jugtaraiya,3.30302E+13,489496,2005-2006,Y,????? ??????,?????? ?????,Y,161,116.81,169,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00043-?????,,126-??????,Bhotiya,3.30302E+13,489759,2005-2006,Y,????? ??????,?????? ?????,Y,169,119.43,149,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00044-????,,127-????,Nichi,3.30302E+13,489501,2005-2006,Y,????? ??????,?????? ?????,Y,352,252.75,315,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00044-????,,128-?????? ????,Hatepur Kalan,3.30302E+13,489499,2005-2006,Y,????? ??????,?????? ?????,Y,180,89.05,163,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00044-????,,129-?????? ?????,Hatepur Khurd,3.30302E+13,489500,2005-2006,Y,????? ??????,?????? ?????,Y,205,102.55,137,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00044-????,,130-???????,Ranital,3.30302E+13,489504,2005-2006,Y,????? ??????,?????? ?????,Y,471,259.76,329,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00045-???????,,131-???????,Simariya,3.30302E+13,489505,2005-2006,Y,????? ??????,?????? ?????,Y,352,250.3,314,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00045-???????,,132-???????,Kantora,3.30302E+13,489507,2005-2006,Y,????? ??????,?????? ?????,Y,364,296.72,322,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00045-???????,,133-???????,Sontalai,3.30302E+13,489508,2005-2006,Y,????? ??????,?????? ?????,Y,207,111.02,195,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00046-?????,,134-?????,Nunsar,3.30302E+13,489510,2005-2006,Y,????? ??????,?????? ?????,Y,1701,988.54,1194,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00047-?????,,135-?????,Baroda Chhedi,3.30302E+13,489517,2005-2006,Y,????? ??????,?????? ?????,Y,494,197.75,443,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00047-?????,,136-????????,Kumgawan,3.30302E+13,489519,2005-2006,Y,????? ??????,?????? ?????,Y,453,272.02,253,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00047-?????,,137-??????,Sarkhandi,3.30302E+13,489518,2005-2006,Y,????? ??????,?????? ?????,Y,349,129.73,279,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00047-?????,,138-??????,Hatepur,3.30302E+13,489520,2005-2006,Y,????? ??????,?????? ?????,Y,134,66.18,121,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00048-????,,139-????,Chhedi,3.30302E+13,489516,2005-2006,Y,????? ??????,?????? ?????,Y,637,369.1,450,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00048-????,,140-??????,Barkheda,3.30302E+13,489503,2005-2006,Y,????? ??????,?????? ?????,Y,423,217.59,320,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00048-????,,141-????,Jowa,3.30302E+13,489522,2005-2006,Y,????? ??????,?????? ?????,Y,119,58.04,119,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00048-????,,142-??????,Imaliya,3.30302E+13,362904,2005-2006,Y,????? ??????,?????? ?????,Y,324,153.04,213,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00049-????,,143-????,Jarond,3.30302E+13,489515,2005-2006,Y,????? ??????,?????? ?????,Y,539,341.4,374,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00049-????,,144-????,Dundi,3.30302E+13,489514,2005-2006,Y,????? ??????,?????? ?????,Y,299,177.22,285,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00049-????,,145-?????,Richhai,3.30302E+13,489506,2005-2006,Y,????? ??????,?????? ?????,Y,149,69.57,127,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00050-????,,146-????,Udana,3.30302E+13,489530,2005-2006,Y,????? ??????,?????? ?????,Y,648,342.24,450,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00050-????,,147-???????,Belkhedi Chapod,3.30302E+13,489536,2005-2006,Y,????? ??????,?????? ?????,Y,109,71.27,106,,N
33-??????,Jabalpur,03-????,Patan,02-????,,00051-????,,148-?????,Medhi,3.30302E+13,489529,2005-2006,Y,????? ??????,?????? ?????,Y,385,201.49,352,,N
